row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
49161,4095,4095,4095,4095,4095,4095,4095,3988
49162,4004,4095,4095,4095,4079,3852,4040,2129
49163,2780,3968,3886,4076,3258,1876,2748,262
49164,357,2244,1769,3144,362,288,285,253
49165,279,320,285,345,278,272,267,252
49166,274,275,267,267,280,271,267,251
49167,274,273,268,264,785,274,268,251
49168,272,271,269,270,3416,376,268,251
49169,271,276,292,549,3552,2492,267,252
49170,271,325,2014,3340,3576,3414,268,253
49171,271,1157,3486,3462,3560,3484,273,253
49172,271,1088,3509,3460,3385,3500,310,252
49173,272,911,3516,3374,1786,3503,322,253
49174,270,414,3509,3300,372,3508,336,253
49175,271,294,3269,3396,1195,3516,351,253
49176,271,274,2100,3464,3588,3512,360,252
49177,271,271,318,3433,3598,3471,283,252
49178,272,270,274,3304,3598,2501,270,253
49179,272,271,276,3278,3588,445,267,252
49180,270,270,302,3369,3548,286,268,252
49181,270,269,315,3424,3316,275,268,251
49182,270,270,1092,3344,2906,273,267,253
49183,270,269,1928,2876,2840,274,267,252
49184,271,269,1982,1900,2857,272,266,253
49185,270,269,2940,981,2988,273,265,251
49186,270,270,3360,309,3388,271,266,251
49187,271,270,3352,879,3092,270,266,249
49188,270,268,2670,3156,2918,271,264,251
49189,271,270,1930,3508,1777,271,266,251
49190,271,269,1292,3442,299,270,264,251
49191,271,268,293,3100,276,269,266,252
49192,272,269,266,298,275,271,266,251
49193,277,268,264,258,275,269,265,249
49194,1546,280,269,259,278,278,268,290
49195,4068,2724,2733,300,3281,3952,3536,4036
