epoch,train_loss,train_acc,val_loss,val_acc
1.000000,2.309333,0.125000,2.303134,0.100000
2.000000,2.300643,0.090000,2.298213,0.100000
3.000000,2.297577,0.130000,2.284863,0.140000
4.000000,2.273973,0.135000,2.264130,0.160000
5.000000,2.246952,0.165000,2.210986,0.200000
6.000000,2.205314,0.180000,2.152707,0.180000
7.000000,2.149736,0.245000,2.079664,0.280000
8.000000,2.096005,0.260000,2.041695,0.240000
9.000000,2.030904,0.265000,1.996757,0.240000
10.000000,1.979052,0.315000,1.948978,0.300000
11.000000,1.941165,0.360000,1.876404,0.340000
12.000000,1.923813,0.355000,1.913560,0.260000
13.000000,1.859126,0.410000,1.835255,0.420000
14.000000,1.842432,0.380000,1.844198,0.460000
15.000000,1.789956,0.450000,1.751436,0.460000
16.000000,1.792553,0.420000,1.734453,0.540000
17.000000,1.763474,0.420000,1.703206,0.560000
18.000000,1.696977,0.490000,1.669641,0.600000
19.000000,1.680786,0.515000,1.656155,0.500000
20.000000,1.653565,0.500000,1.648513,0.540000
21.000000,1.588905,0.545000,1.591284,0.560000
22.000000,1.591450,0.520000,1.517951,0.600000
23.000000,1.475160,0.565000,1.497505,0.540000
24.000000,1.538105,0.550000,1.481615,0.640000
25.000000,1.493766,0.545000,1.484982,0.600000
26.000000,1.453705,0.560000,1.425803,0.620000
27.000000,1.430298,0.595000,1.380316,0.660000
28.000000,1.438498,0.590000,1.360809,0.660000
29.000000,1.354978,0.635000,1.338757,0.680000
30.000000,1.335410,0.620000,1.325871,0.660000
31.000000,1.431022,0.605000,1.332397,0.660000
32.000000,1.362292,0.670000,1.305638,0.660000
33.000000,1.337558,0.675000,1.294707,0.700000
34.000000,1.258604,0.685000,1.285842,0.640000
35.000000,1.304709,0.700000,1.299766,0.680000
36.000000,1.267823,0.680000,1.281615,0.680000
37.000000,1.232956,0.690000,1.221875,0.700000
38.000000,1.317373,0.660000,1.250838,0.720000
39.000000,1.208815,0.715000,1.205454,0.760000
40.000000,1.221341,0.695000,1.185215,0.740000
41.000000,1.187682,0.755000,1.197993,0.720000
42.000000,1.197922,0.725000,1.159780,0.760000
43.000000,1.112569,0.770000,1.177650,0.760000
44.000000,1.122569,0.755000,1.130207,0.740000
45.000000,1.073509,0.790000,1.120253,0.760000
46.000000,1.151890,0.715000,1.129757,0.800000
47.000000,1.175677,0.745000,1.140257,0.740000
48.000000,1.149953,0.765000,1.187120,0.760000
49.000000,1.044917,0.810000,1.135154,0.760000
50.000000,1.179208,0.710000,1.110868,0.720000
51.000000,1.081418,0.780000,1.088670,0.800000
52.000000,1.069948,0.805000,1.099509,0.780000
53.000000,1.130649,0.740000,1.084287,0.760000
54.000000,1.135262,0.740000,1.088546,0.780000
55.000000,1.083542,0.795000,1.072786,0.800000
56.000000,1.085238,0.790000,1.143732,0.720000
57.000000,1.096069,0.795000,1.066656,0.800000
58.000000,1.018971,0.840000,1.089909,0.820000
59.000000,1.017733,0.830000,1.057162,0.800000
60.000000,1.037324,0.790000,1.058357,0.780000
61.000000,1.100034,0.790000,1.034773,0.780000
62.000000,1.012091,0.815000,1.022262,0.820000
63.000000,1.007236,0.840000,1.080410,0.760000
64.000000,1.009928,0.830000,1.041299,0.800000
65.000000,1.071342,0.805000,1.038544,0.800000
66.000000,0.994757,0.850000,1.073000,0.800000
67.000000,0.967568,0.845000,1.017557,0.800000
68.000000,0.955757,0.865000,1.000942,0.820000
69.000000,0.978674,0.865000,1.028761,0.820000
70.000000,0.966604,0.855000,0.999811,0.820000
71.000000,0.993806,0.815000,0.993457,0.840000
72.000000,1.001584,0.795000,1.040416,0.820000
73.000000,0.972653,0.840000,1.044479,0.760000
74.000000,0.996646,0.815000,1.007355,0.860000
75.000000,0.930387,0.875000,1.013210,0.840000
76.000000,0.941124,0.850000,1.006313,0.820000
77.000000,1.004975,0.800000,1.019510,0.840000
78.000000,0.914570,0.875000,0.992912,0.840000
79.000000,0.967005,0.850000,0.974848,0.860000
80.000000,1.006975,0.830000,1.012904,0.820000
81.000000,0.952410,0.840000,1.002633,0.860000
82.000000,0.959796,0.850000,0.990485,0.820000
83.000000,0.990659,0.820000,1.037307,0.820000
84.000000,0.930816,0.870000,0.987709,0.820000
85.000000,0.957826,0.835000,0.954718,0.860000
86.000000,0.913516,0.865000,0.986577,0.840000
87.000000,0.912037,0.885000,1.003985,0.820000
88.000000,0.923774,0.865000,0.985873,0.840000
89.000000,0.906693,0.880000,0.971640,0.800000
90.000000,0.952244,0.835000,1.006005,0.840000
91.000000,0.929455,0.875000,0.995676,0.840000
92.000000,0.937208,0.860000,1.007470,0.820000
93.000000,0.944373,0.870000,0.986463,0.800000
94.000000,0.877459,0.905000,0.978456,0.820000
95.000000,0.886206,0.885000,0.980794,0.820000
96.000000,0.907669,0.885000,0.968443,0.800000
97.000000,0.922795,0.875000,0.982927,0.860000
98.000000,0.848551,0.925000,0.985842,0.820000
99.000000,0.906912,0.885000,0.985869,0.840000
100.000000,0.910027,0.870000,1.033628,0.800000
101.000000,0.892434,0.885000,0.965718,0.820000
102.000000,0.835629,0.920000,0.993144,0.840000
103.000000,0.905496,0.880000,0.999128,0.800000
104.000000,0.864669,0.900000,1.001539,0.800000
105.000000,0.890438,0.890000,0.987766,0.800000
106.000000,0.921257,0.850000,0.989309,0.800000
107.000000,0.919960,0.880000,0.984167,0.820000
108.000000,0.890497,0.880000,1.014387,0.840000
109.000000,0.861752,0.900000,1.012641,0.800000
110.000000,0.859921,0.880000,0.998416,0.820000
111.000000,0.836697,0.905000,0.970761,0.820000
112.000000,0.884018,0.885000,1.009630,0.820000
113.000000,0.880275,0.880000,1.006383,0.800000
114.000000,0.863839,0.900000,1.008227,0.800000
